control_wpid,courseID,key,death,dayindex,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,class_size,control_wikied,indiv_group1,indiv_group2,indiv_group,group_recheck
Adalley,2,Adalley2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Alasocha,2,Alasocha2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Alex Jia,2,Alex Jia2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Amyrkmcdonald,2,Amyrkmcdonald2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Andrewconsiders,2,Andrewconsiders2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Annataz,2,Annataz2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Aylin Tavakoli,2,Aylin Tavakoli2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
CREdwards,2,CREdwards2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
D.lupick,2,D.lupick2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
DJsametz,2,DJsametz2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
EmilycarriganG,2,EmilycarriganG2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Ernettita,2,Ernettita2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Gamesketcher,2,Gamesketcher2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Hayesjess,2,Hayesjess2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Holliemckeil,2,Holliemckeil2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Ignatiusbut,2,Ignatiusbut2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Injeniero,2,Injeniero2,1,146,2,208,208,2,0,0,0,1,32,1,1,1,1,1
Jkivettk,2,Jkivettk2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Jlfbrown,2,Jlfbrown2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Kmcconnel,2,Kmcconnel2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Laratboulos,2,Laratboulos2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Lettucesmith,2,Lettucesmith2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
