control_wpid,courseID,key,death,dayindex,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,indiv_group2,group_recheck
Adalley,2,Adalley2,1,68,17,352.7647059,1118.333333,3,3,2,5,2,1,32,1,1,1,1
Alasocha,2,Alasocha2,1,51,42,226.7380952,309.7692308,13,5,16,3,3,1,32,1,1,1,1
Alex Jia,2,Alex Jia2,1,49,13,531.5384615,1305,3,1,7,2,1,1,32,1,1,1,1
Amyrkmcdonald,2,Amyrkmcdonald2,1,66,23,143.5652174,70.45454545,11,4,5,0,4,1,32,1,1,1,1
Andrewconsiders,2,Andrewconsiders2,1,45,32,520.625,631.1538462,13,2,11,4,1,1,32,1,1,1,1
Annataz,2,Annataz2,1,53,21,223.952381,404.1428571,7,5,4,3,1,1,32,1,1,1,1
Aylin Tavakoli,2,Aylin Tavakoli2,1,71,77,120.6493506,132.2592593,54,5,6,5,3,1,32,1,1,1,1
CREdwards,2,CREdwards2,1,69,37,167.972973,163,25,2,6,0,3,1,32,1,1,1,1
D.lupick,2,D.lupick2,1,64,64,69.6875,58.8974359,39,6,4,5,9,1,32,1,1,1,1
DJsametz,2,DJsametz2,1,69,21,388.4285714,1040.333333,3,1,15,0,2,1,32,1,1,1,1
EmilycarriganG,2,EmilycarriganG2,1,70,21,474.047619,752.4,5,4,6,3,2,1,32,1,1,1,1
Ernettita,2,Ernettita2,1,57,46,399.826087,430.4666667,15,5,15,3,1,1,32,1,1,1,1
Gamesketcher,2,Gamesketcher2,1,61,28,231.6785714,249.2222222,9,2,10,3,3,1,32,1,1,1,1
Hayesjess,2,Hayesjess2,1,69,82,174.695122,75.80392157,51,12,12,5,6,1,32,1,1,1,1
Holliemckeil,2,Holliemckeil2,1,70,16,465.3125,1422.2,5,2,2,2,2,1,32,1,1,1,1
Ignatiusbut,2,Ignatiusbut2,1,70,20,505.45,936,6,1,8,3,3,1,32,1,1,1,1
Injeniero,2,Injeniero2,1,226,41,252.902439,506.9411765,17,9,4,3,4,1,32,1,1,1,1
Jkivettk,2,Jkivettk2,1,63,36,384.4166667,384.6,10,8,11,5,1,1,32,1,1,1,1
Jlfbrown,2,Jlfbrown2,1,69,52,179.8653846,109.16,25,10,12,3,5,1,32,1,1,1,1
