control_wpid,courseID,uniqueID,return,return2,death,dayindex,score_diff,reach_out_stu,reach_out_wiki,reach_in_stu,reach_in_wiki,student_Outdegree,wiki_Outdegree,student_Indegree,wiki_Indegree,student_weighted_outdegree,wiki_weighted_outdegree,student_weighted_indegree,wiki_weighted_indegree,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,group_recheck
!WKatie,417,!WKatie417,0,0,1,10,1.505,0,0,0,1,0,0,0,1,0,0,0,1,16,200.5625,163.5,6,0,10,0,4,1,17,1,1,1
.i.s.b.e.i.g.e.,337,.i.s.b.e.i.g.e.337,0,0,1,91,0,0,0,0,1,0,0,0,1,0,0,0,1,54,493.2407407,1728.714286,7,30,7,8,1,1,21,1,1,1
007NYC,665,007NYC665,0,0,1,56,0.263,0,0,0,1,0,0,0,1,0,0,0,1,4,37,-2,1,0,2,0,1,1,13,1,1,1
01mustang01,142,01mustang01142,0,0,1,43,0,0,0,0,4,0,0,0,2,0,0,0,4,42,151.547619,63.77272727,22,1,11,8,2,1,24,1,1,1
0272thinkap,682,0272thinkap682,0,0,1,99,2.752,1,0,0,1,1,0,0,1,1,0,0,1,25,185.72,0.5,4,5,10,4,1,1,67,1,1,1
09iri,389,09iri389,0,0,1,6,0,0,0,0,2,0,0,0,2,0,0,0,2,3,71.33333333,0,0,0,3,0,0,0,45,1,-1,-1
0grm1,66,0grm166,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.33333333,0,0,0,2,0,0,0,64,1,-1,-1
0lauralittle0,568,0lauralittle0568,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,1,-1,-1
0riK,19,0riK19,0,0,1,92,0,0,0,0,1,0,0,0,1,0,0,0,1,81,378.9012346,0,0,2,71,4,0,0,26,1,-1,-1
1 Conor Mcgregor,700,1 Conor Mcgregor700,0,0,1,36,1.201,0,0,0,2,0,0,0,2,0,0,0,2,17,219.6470588,363.2222222,9,2,2,0,1,0,13,1,-1,-1
100% wood,656,100% wood656,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,20,283.7,0,0,2,18,0,0,0,24,1,-1,-1
10Lndsy,55,10Lndsy55,0,0,1,17,0.655,2,0,0,2,1,0,0,2,2,0,0,2,25,189.08,132.9090909,11,5,3,2,1,1,125,1,1,1
10outta10,233,10outta10233,0,0,1,100,0,1,0,0,2,0,0,0,2,0,0,0,2,51,1550.588235,383.4761905,21,3,24,1,4,1,24,1,1,1
10rmunoz11,661,10rmunoz11661,0,0,1,43,0,0,0,0,1,0,0,0,1,0,0,0,1,6,1,1,6,0,0,0,1,1,26,1,1,1
1114tennis,571,1114tennis571,0,0,1,113,0,0,0,0,1,0,0,0,1,0,0,0,1,7,66.71428571,64.25,4,0,2,0,1,1,92,1,1,1
119eainos,62,119eainos62,0,0,1,25,0,0,0,0,1,0,0,0,1,0,0,0,1,46,48.58695652,0,0,0,44,0,0,1,28,1,1,1
11jcsg,94,11jcsg94,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.66666667,0,0,0,2,0,0,0,56,1,-1,-1
11kdk2,66,11kdk266,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,1,127,0,0,0,1,0,0,0,64,1,-1,-1
11kimbobese,55,11kimbobese55,0,0,1,14,0,0,0,0,1,0,0,0,1,0,0,0,1,12,1785.75,0,0,4,5,0,0,1,125,1,1,1
11mh44,94,11mh4494,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.66666667,0,0,0,2,0,0,0,56,1,-1,-1
11mtp4,94,11mtp494,0,0,1,50,0,0,0,0,1,0,0,0,1,0,0,0,1,7,126,0,0,0,4,2,0,0,56,1,-1,-1
11rmm13,94,11rmm1394,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,61,0,0,0,2,0,0,0,56,1,-1,-1
11sad13,66,11sad1366,0,0,1,27,0,0,0,0,1,0,0,0,1,0,0,0,1,10,114.9,0,0,0,7,3,0,0,64,1,-1,-1
11trevnb,94,11trevnb94,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,61.33333333,0,0,0,2,0,0,0,56,1,-1,-1
123kari,509,123kari509,0,0,1,75,0,0,0,0,1,0,0,0,1,0,0,0,1,19,276.0526316,429,1,0,16,0,1,0,18,1,-1,-1
123rek123,733,123rek123733,0,0,1,12,0.017,0,0,0,2,0,0,0,2,0,0,0,2,32,121.5,46.85714286,7,4,15,4,1,0,18,1,-1,-1
12ahss,94,12ahss94,0,0,1,47,0,0,0,0,2,0,0,0,2,0,0,0,2,8,120.5,0,0,0,4,3,0,0,56,1,-1,-1
12arober,492,12arober492,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,761,843,1,1,0,0,1,0,24,1,-1,-1
12changk2,243,12changk2243,0,0,1,86,0,3,0,0,2,1,0,0,2,3,0,0,2,60,231.2833333,139.4166667,24,2,21,9,4,0,31,1,-1,1
12jgg,94,12jgg94,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.33333333,0,0,0,2,0,0,0,56,1,-1,-1
12jhcw,94,12jhcw94,0,0,1,43,0,0,0,0,1,0,0,0,1,0,0,0,1,10,116.2,0,0,0,6,3,0,0,56,1,-1,-1
12jlyl,66,12jlyl66,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.66666667,0,0,0,2,0,0,0,64,1,-1,-1
12set1,94,12set194,0,0,1,45,0,0,0,0,1,0,0,0,1,0,0,0,1,14,97.07142857,0,0,0,10,3,0,0,56,1,-1,-1
12tph,66,12tph66,1,1,1,49,0,0,0,0,2,0,0,0,1,0,0,0,2,6,62,0,0,0,4,0,0,0,64,1,-1,-1
